Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00010619.JPEG,31.33,0.9797,47.9003
ILSVRC2012_val_00010622.JPEG,36.76,0.9852,13.6993
ILSVRC2012_val_00010630.JPEG,32.56,0.9881,36.0759
ILSVRC2012_val_00010638.JPEG,33.62,0.9743,28.2294
ILSVRC2012_val_00010645.JPEG,32.5,0.9872,36.5313
ILSVRC2012_val_00010646.JPEG,32.43,0.9895,37.1748
ILSVRC2012_val_00010662.JPEG,34.81,0.9841,21.4951
ILSVRC2012_val_00010676.JPEG,31.55,0.9845,45.5258
ILSVRC2012_val_00010680.JPEG,34.79,0.9838,21.6004
ILSVRC2012_val_00010682.JPEG,31.56,0.9805,45.3603
ILSVRC2012_val_00010691.JPEG,35.49,0.9834,18.3686
ILSVRC2012_val_00010699.JPEG,37.5,0.9889,11.5592
ILSVRC2012_val_00010704.JPEG,33.42,0.9859,29.6112
ILSVRC2012_val_00010711.JPEG,32.02,0.9792,40.8691
ILSVRC2012_val_00010713.JPEG,31.92,0.9786,41.8361
ILSVRC2012_val_00010725.JPEG,32.2,0.9805,39.1888
ILSVRC2012_val_00010737.JPEG,36.29,0.9799,15.2921
ILSVRC2012_val_00010742.JPEG,32.31,0.9639,38.1784
ILSVRC2012_val_00010745.JPEG,32.6,0.9858,35.7114
ILSVRC2012_val_00010747.JPEG,32.39,0.9679,37.5073
ILSVRC2012_val_00010755.JPEG,42.43,0.9943,3.7153
ILSVRC2012_val_00010766.JPEG,33.91,0.9829,26.4203
ILSVRC2012_val_00010788.JPEG,38.28,0.9895,9.6713
ILSVRC2012_val_00010790.JPEG,31.77,0.9873,43.2445
ILSVRC2012_val_00010792.JPEG,32.42,0.9828,37.2427
ILSVRC2012_val_00010815.JPEG,38.97,0.9916,8.2505
ILSVRC2012_val_00010818.JPEG,62.51,0.9999,0.0365
ILSVRC2012_val_00010819.JPEG,67.52,0.9999,0.0115
ILSVRC2012_val_00010821.JPEG,37.94,0.9915,10.4522
ILSVRC2012_val_00010836.JPEG,32.65,0.9877,35.3134
ILSVRC2012_val_00010844.JPEG,34.64,0.9839,22.3413
ILSVRC2012_val_00010852.JPEG,33.85,0.9869,26.7884
ILSVRC2012_val_00010854.JPEG,32.13,0.9888,39.8102
ILSVRC2012_val_00010862.JPEG,31.82,0.9865,42.7509
ILSVRC2012_val_00010876.JPEG,32.15,0.991,39.6611
ILSVRC2012_val_00010883.JPEG,36.14,0.9841,15.8051
ILSVRC2012_val_00010884.JPEG,39.43,0.9906,7.4078
ILSVRC2012_val_00010895.JPEG,33.81,0.9863,27.024
ILSVRC2012_val_00010920.JPEG,32.76,0.9812,34.4252
ILSVRC2012_val_00010923.JPEG,32.01,0.9854,40.9211
ILSVRC2012_val_00010926.JPEG,34.35,0.9781,23.8825
ILSVRC2012_val_00010936.JPEG,31.26,0.9851,48.6254
ILSVRC2012_val_00010938.JPEG,32.14,0.9916,39.749
ILSVRC2012_val_00010941.JPEG,31.48,0.9819,46.258
ILSVRC2012_val_00010948.JPEG,36.5,0.9848,14.5729
ILSVRC2012_val_00010962.JPEG,31.85,0.9864,42.4346
ILSVRC2012_val_00010965.JPEG,31.6,0.9723,45.0108
ILSVRC2012_val_00010969.JPEG,37.34,0.9841,12.0044
ILSVRC2012_val_00010992.JPEG,31.78,0.987,43.1709
ILSVRC2012_val_00011000.JPEG,68.0,0.9999,0.0103
