Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00011355.JPEG,37.35,0.9882,11.9771
ILSVRC2012_val_00011356.JPEG,37.48,0.9913,11.6242
ILSVRC2012_val_00011365.JPEG,32.23,0.9834,38.9308
ILSVRC2012_val_00011367.JPEG,32.32,0.9844,38.0802
ILSVRC2012_val_00011389.JPEG,36.63,0.9949,14.1207
ILSVRC2012_val_00011391.JPEG,31.44,0.9847,46.6593
ILSVRC2012_val_00011397.JPEG,34.37,0.9886,23.7693
ILSVRC2012_val_00011398.JPEG,35.23,0.9826,19.4888
ILSVRC2012_val_00011430.JPEG,41.94,0.9969,4.1631
ILSVRC2012_val_00011441.JPEG,32.93,0.9874,33.1379
ILSVRC2012_val_00011442.JPEG,63.84,0.9999,0.0269
ILSVRC2012_val_00011447.JPEG,31.26,0.9655,48.6789
ILSVRC2012_val_00011452.JPEG,32.57,0.9772,35.9411
ILSVRC2012_val_00011460.JPEG,36.81,0.9973,13.5486
ILSVRC2012_val_00011463.JPEG,32.15,0.9844,39.6397
ILSVRC2012_val_00011466.JPEG,34.81,0.9849,21.4947
ILSVRC2012_val_00011467.JPEG,31.25,0.9927,48.7305
ILSVRC2012_val_00011470.JPEG,36.7,0.9873,13.9066
ILSVRC2012_val_00011474.JPEG,32.15,0.9844,39.5959
ILSVRC2012_val_00011482.JPEG,32.36,0.9662,37.7671
ILSVRC2012_val_00011490.JPEG,36.36,0.986,15.0419
ILSVRC2012_val_00011494.JPEG,32.53,0.9951,36.337
ILSVRC2012_val_00011506.JPEG,33.4,0.985,29.7146
ILSVRC2012_val_00011518.JPEG,32.28,0.9847,38.5033
ILSVRC2012_val_00011528.JPEG,42.09,0.993,4.0197
ILSVRC2012_val_00011537.JPEG,34.9,0.9879,21.0617
ILSVRC2012_val_00011541.JPEG,34.19,0.978,24.7532
ILSVRC2012_val_00011543.JPEG,31.78,0.9844,43.1802
ILSVRC2012_val_00011545.JPEG,35.44,0.9708,18.5827
ILSVRC2012_val_00011550.JPEG,34.91,0.9832,20.9732
ILSVRC2012_val_00011559.JPEG,67.51,0.9999,0.0115
ILSVRC2012_val_00011561.JPEG,39.46,0.9861,7.3578
ILSVRC2012_val_00011575.JPEG,36.31,0.9867,15.2004
ILSVRC2012_val_00011580.JPEG,31.27,0.9888,48.5632
ILSVRC2012_val_00011581.JPEG,34.12,0.9829,25.1575
ILSVRC2012_val_00011586.JPEG,33.31,0.9826,30.3444
ILSVRC2012_val_00011606.JPEG,40.34,0.9936,6.0088
ILSVRC2012_val_00011613.JPEG,35.23,0.9845,19.5179
ILSVRC2012_val_00011614.JPEG,38.46,0.9896,9.2656
ILSVRC2012_val_00011616.JPEG,34.03,0.9761,25.7369
ILSVRC2012_val_00011633.JPEG,40.95,0.9902,5.2213
ILSVRC2012_val_00011638.JPEG,33.51,0.9447,29.0108
ILSVRC2012_val_00011645.JPEG,32.74,0.9857,34.6083
ILSVRC2012_val_00011647.JPEG,39.21,0.9956,7.791
ILSVRC2012_val_00011650.JPEG,39.32,0.99,7.6051
ILSVRC2012_val_00011653.JPEG,32.15,0.9834,39.6479
ILSVRC2012_val_00011687.JPEG,31.12,0.9471,50.1906
ILSVRC2012_val_00011692.JPEG,31.68,0.9937,44.1878
ILSVRC2012_val_00011705.JPEG,31.67,0.9839,44.2427
ILSVRC2012_val_00011707.JPEG,32.83,0.9863,33.8994
ILSVRC2012_val_00011710.JPEG,31.38,0.9876,47.298
ILSVRC2012_val_00011713.JPEG,34.09,0.9697,25.3341
ILSVRC2012_val_00011718.JPEG,33.94,0.9854,26.2402
ILSVRC2012_val_00011721.JPEG,32.88,0.9833,33.4894
ILSVRC2012_val_00011726.JPEG,31.49,0.983,46.0919
ILSVRC2012_val_00011733.JPEG,35.55,0.9916,18.1064
ILSVRC2012_val_00011736.JPEG,34.47,0.9939,23.2568
ILSVRC2012_val_00011738.JPEG,34.01,0.9829,25.8349
ILSVRC2012_val_00011775.JPEG,45.29,0.9988,1.9227
ILSVRC2012_val_00011794.JPEG,37.26,0.9851,12.2195
ILSVRC2012_val_00011808.JPEG,33.62,0.988,28.2614
ILSVRC2012_val_00011809.JPEG,67.71,0.9999,0.011
ILSVRC2012_val_00011810.JPEG,47.0,0.999,1.2982
ILSVRC2012_val_00011811.JPEG,34.2,0.9824,24.7448
ILSVRC2012_val_00011815.JPEG,40.28,0.9981,6.0955
ILSVRC2012_val_00011824.JPEG,40.65,0.9925,5.598
ILSVRC2012_val_00011829.JPEG,33.17,0.9902,31.3599
ILSVRC2012_val_00011854.JPEG,38.89,0.9923,8.3954
ILSVRC2012_val_00011868.JPEG,33.45,0.9876,29.3941
ILSVRC2012_val_00011873.JPEG,34.48,0.9877,23.1982
ILSVRC2012_val_00011877.JPEG,35.47,0.9868,18.459
ILSVRC2012_val_00011888.JPEG,35.52,0.9837,18.2507
ILSVRC2012_val_00011898.JPEG,38.59,0.9899,8.993
ILSVRC2012_val_00011910.JPEG,32.25,0.9827,38.6889
ILSVRC2012_val_00011913.JPEG,41.89,0.9953,4.2104
ILSVRC2012_val_00011915.JPEG,34.98,0.9846,20.6422
ILSVRC2012_val_00011922.JPEG,34.87,0.9726,21.1728
ILSVRC2012_val_00011923.JPEG,37.6,0.9978,11.3042
ILSVRC2012_val_00011930.JPEG,34.27,0.9817,24.3113
ILSVRC2012_val_00011944.JPEG,34.38,0.9845,23.6911
ILSVRC2012_val_00011950.JPEG,32.74,0.9799,34.5894
ILSVRC2012_val_00011951.JPEG,62.71,0.9998,0.0349
ILSVRC2012_val_00011960.JPEG,40.58,0.9974,5.6947
ILSVRC2012_val_00011961.JPEG,33.64,0.9821,28.1313
ILSVRC2012_val_00011962.JPEG,32.93,0.9537,33.1402
ILSVRC2012_val_00011966.JPEG,33.42,0.9833,29.6159
ILSVRC2012_val_00011967.JPEG,42.71,0.9933,3.4854
ILSVRC2012_val_00011973.JPEG,31.0,0.9407,51.6618
ILSVRC2012_val_00011974.JPEG,32.0,0.987,41.0105
ILSVRC2012_val_00011979.JPEG,33.25,0.985,30.7686
ILSVRC2012_val_00011985.JPEG,31.97,0.9832,41.2829
ILSVRC2012_val_00011987.JPEG,32.13,0.9782,39.7749
ILSVRC2012_val_00011989.JPEG,36.61,0.9839,14.2059
