Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00009900.JPEG,41.56,0.9952,4.5432
ILSVRC2012_val_00009912.JPEG,34.26,0.9729,24.3565
ILSVRC2012_val_00009921.JPEG,36.04,0.991,16.1887
ILSVRC2012_val_00009924.JPEG,33.24,0.9846,30.8346
ILSVRC2012_val_00009939.JPEG,32.12,0.9846,39.9399
ILSVRC2012_val_00009940.JPEG,36.33,0.9539,15.1306
ILSVRC2012_val_00009941.JPEG,31.98,0.9915,41.2401
ILSVRC2012_val_00009946.JPEG,35.67,0.9847,17.6339
ILSVRC2012_val_00009964.JPEG,32.06,0.9845,40.4651
ILSVRC2012_val_00009976.JPEG,31.66,0.9856,44.356
ILSVRC2012_val_00009977.JPEG,32.17,0.9832,39.472
ILSVRC2012_val_00009979.JPEG,32.26,0.9885,38.6661
ILSVRC2012_val_00009985.JPEG,34.39,0.9831,23.6666
ILSVRC2012_val_00009986.JPEG,32.53,0.9912,36.283
ILSVRC2012_val_00009991.JPEG,32.08,0.9859,40.2715
