Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00006701.JPEG,37.47,0.9878,11.6311
ILSVRC2012_val_00006703.JPEG,32.92,0.9736,33.2247
ILSVRC2012_val_00006714.JPEG,35.47,0.986,18.4423
ILSVRC2012_val_00006729.JPEG,32.9,0.9852,33.3814
ILSVRC2012_val_00006734.JPEG,35.53,0.9763,18.2092
ILSVRC2012_val_00006758.JPEG,31.79,0.9873,43.0507
ILSVRC2012_val_00006770.JPEG,64.72,0.9998,0.0219
ILSVRC2012_val_00006775.JPEG,32.32,0.9883,38.1152
ILSVRC2012_val_00006778.JPEG,38.14,0.985,9.977
ILSVRC2012_val_00006787.JPEG,35.62,0.997,17.8244
ILSVRC2012_val_00006788.JPEG,35.94,0.9931,16.5561
ILSVRC2012_val_00006795.JPEG,43.03,0.9981,3.2395
ILSVRC2012_val_00006810.JPEG,32.78,0.981,34.2908
ILSVRC2012_val_00006815.JPEG,37.45,0.9889,11.6985
ILSVRC2012_val_00006818.JPEG,32.3,0.9937,38.2982
ILSVRC2012_val_00006825.JPEG,40.14,0.9887,6.2986
ILSVRC2012_val_00006826.JPEG,47.28,0.998,1.2152
ILSVRC2012_val_00006840.JPEG,33.82,0.9882,26.9966
ILSVRC2012_val_00006858.JPEG,33.84,0.9827,26.8499
ILSVRC2012_val_00006869.JPEG,33.76,0.9748,27.3496
ILSVRC2012_val_00006872.JPEG,31.19,0.9926,49.4176
ILSVRC2012_val_00006877.JPEG,45.23,0.9981,1.9517
ILSVRC2012_val_00006888.JPEG,34.58,0.9781,22.6715
ILSVRC2012_val_00006894.JPEG,37.22,0.9902,12.3233
ILSVRC2012_val_00006908.JPEG,33.41,0.984,29.6783
ILSVRC2012_val_00006920.JPEG,32.19,0.9894,39.2966
ILSVRC2012_val_00006939.JPEG,33.18,0.9889,31.2367
ILSVRC2012_val_00006943.JPEG,33.18,0.9814,31.2575
ILSVRC2012_val_00006946.JPEG,36.1,0.9904,15.9457
ILSVRC2012_val_00006954.JPEG,32.01,0.9786,40.9093
ILSVRC2012_val_00006958.JPEG,32.3,0.993,38.2947
ILSVRC2012_val_00006962.JPEG,32.43,0.9834,37.1743
ILSVRC2012_val_00006963.JPEG,40.24,0.9874,6.147
ILSVRC2012_val_00006970.JPEG,32.76,0.985,34.4727
ILSVRC2012_val_00006994.JPEG,65.68,0.9999,0.0176
