Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00005430.JPEG,37.01,0.9841,12.9542
ILSVRC2012_val_00005432.JPEG,35.1,0.9649,20.1167
ILSVRC2012_val_00005439.JPEG,43.87,0.9995,2.6687
ILSVRC2012_val_00005442.JPEG,31.29,0.9784,48.3135
ILSVRC2012_val_00005444.JPEG,67.75,0.9999,0.0109
ILSVRC2012_val_00005445.JPEG,39.24,0.9911,7.7539
ILSVRC2012_val_00005473.JPEG,31.81,0.9893,42.9033
ILSVRC2012_val_00005490.JPEG,33.02,0.9603,32.4213
ILSVRC2012_val_00005496.JPEG,37.3,0.9878,12.114
ILSVRC2012_val_00005500.JPEG,32.73,0.9858,34.7153
ILSVRC2012_val_00005506.JPEG,33.14,0.98,31.5872
ILSVRC2012_val_00005525.JPEG,32.05,0.989,40.5914
ILSVRC2012_val_00005551.JPEG,31.1,0.9721,50.4818
ILSVRC2012_val_00005559.JPEG,32.75,0.9937,34.4993
ILSVRC2012_val_00005572.JPEG,33.5,0.9848,29.0621
ILSVRC2012_val_00005581.JPEG,37.83,0.9865,10.7245
ILSVRC2012_val_00005588.JPEG,49.74,0.9983,0.6898
ILSVRC2012_val_00005603.JPEG,34.3,0.987,24.1382
ILSVRC2012_val_00005610.JPEG,38.74,0.987,8.6865
ILSVRC2012_val_00005612.JPEG,33.34,0.9855,30.1567
ILSVRC2012_val_00005620.JPEG,33.18,0.9843,31.2442
ILSVRC2012_val_00005625.JPEG,33.29,0.9854,30.4941
ILSVRC2012_val_00005627.JPEG,32.12,0.984,39.8985
ILSVRC2012_val_00005628.JPEG,31.54,0.97,45.6364
ILSVRC2012_val_00005630.JPEG,33.7,0.9824,27.768
ILSVRC2012_val_00005636.JPEG,33.94,0.9894,26.2573
ILSVRC2012_val_00005640.JPEG,35.61,0.9892,17.872
ILSVRC2012_val_00005651.JPEG,33.65,0.9919,28.0881
ILSVRC2012_val_00005656.JPEG,32.38,0.9778,37.6326
ILSVRC2012_val_00005657.JPEG,64.61,0.9992,0.0225
ILSVRC2012_val_00005659.JPEG,40.41,0.9924,5.9102
ILSVRC2012_val_00005665.JPEG,38.74,0.9932,8.6992
ILSVRC2012_val_00005672.JPEG,36.55,0.9876,14.3804
ILSVRC2012_val_00005678.JPEG,34.25,0.9866,24.4355
ILSVRC2012_val_00005679.JPEG,32.74,0.9829,34.5931
ILSVRC2012_val_00005698.JPEG,33.64,0.9815,28.154
ILSVRC2012_val_00005704.JPEG,37.46,0.99,11.6817
ILSVRC2012_val_00005705.JPEG,42.55,0.9945,3.6123
ILSVRC2012_val_00005709.JPEG,66.2,0.9999,0.0156
ILSVRC2012_val_00005710.JPEG,34.41,0.9899,23.5536
ILSVRC2012_val_00005711.JPEG,37.0,0.9837,12.9764
ILSVRC2012_val_00005713.JPEG,49.56,0.9987,0.7195
ILSVRC2012_val_00005727.JPEG,42.42,0.9976,3.7236
ILSVRC2012_val_00005736.JPEG,34.98,0.984,20.654
ILSVRC2012_val_00005740.JPEG,36.94,0.9851,13.156
ILSVRC2012_val_00005769.JPEG,33.68,0.9903,27.8751
ILSVRC2012_val_00005776.JPEG,33.36,0.9838,29.9768
ILSVRC2012_val_00005788.JPEG,31.72,0.9656,43.7434
ILSVRC2012_val_00005793.JPEG,38.36,0.9808,9.4751
ILSVRC2012_val_00005802.JPEG,33.77,0.9825,27.3169
ILSVRC2012_val_00005813.JPEG,31.7,0.9885,44.0106
ILSVRC2012_val_00005819.JPEG,36.06,0.9853,16.1055
ILSVRC2012_val_00005842.JPEG,33.78,0.9889,27.2446
ILSVRC2012_val_00005844.JPEG,34.19,0.9845,24.7767
ILSVRC2012_val_00005855.JPEG,34.38,0.9923,23.731
ILSVRC2012_val_00005856.JPEG,33.45,0.9836,29.3974
ILSVRC2012_val_00005859.JPEG,37.53,0.9902,11.4827
ILSVRC2012_val_00005868.JPEG,31.54,0.9892,45.6005
ILSVRC2012_val_00005883.JPEG,31.44,0.989,46.7182
ILSVRC2012_val_00005889.JPEG,31.99,0.9851,41.1325
ILSVRC2012_val_00005894.JPEG,32.97,0.9854,32.8006
ILSVRC2012_val_00005903.JPEG,32.95,0.983,32.9732
ILSVRC2012_val_00005905.JPEG,35.77,0.9934,17.21
ILSVRC2012_val_00005910.JPEG,32.76,0.989,34.4416
ILSVRC2012_val_00005912.JPEG,46.47,0.9974,1.4657
ILSVRC2012_val_00005917.JPEG,32.34,0.9833,37.9724
ILSVRC2012_val_00005929.JPEG,41.58,0.9946,4.522
ILSVRC2012_val_00005932.JPEG,36.44,0.9765,14.7727
ILSVRC2012_val_00005933.JPEG,39.41,0.9858,7.4481
ILSVRC2012_val_00005934.JPEG,32.21,0.9905,39.0852
ILSVRC2012_val_00005940.JPEG,37.45,0.9974,11.7001
ILSVRC2012_val_00005944.JPEG,31.12,0.9843,50.212
ILSVRC2012_val_00005946.JPEG,33.21,0.9821,31.0415
ILSVRC2012_val_00005969.JPEG,33.36,0.982,29.9919
ILSVRC2012_val_00005970.JPEG,31.26,0.9874,48.6948
ILSVRC2012_val_00005979.JPEG,32.84,0.989,33.8406
ILSVRC2012_val_00005985.JPEG,37.96,0.9951,10.4064
ILSVRC2012_val_00005990.JPEG,41.27,0.9981,4.8488
ILSVRC2012_val_00005997.JPEG,32.12,0.9868,39.9049
ILSVRC2012_val_00005998.JPEG,34.43,0.986,23.4301
ILSVRC2012_val_00005999.JPEG,32.01,0.9835,40.9803
