Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00007348.JPEG,33.79,0.9788,27.1936
ILSVRC2012_val_00007360.JPEG,36.61,0.9843,14.18
ILSVRC2012_val_00007361.JPEG,34.92,0.9859,20.95
ILSVRC2012_val_00007364.JPEG,32.24,0.9491,38.7937
ILSVRC2012_val_00007370.JPEG,34.24,0.9667,24.4701
ILSVRC2012_val_00007377.JPEG,32.13,0.9823,39.7836
ILSVRC2012_val_00007385.JPEG,38.05,0.983,10.1819
ILSVRC2012_val_00007396.JPEG,35.77,0.9878,17.2207
ILSVRC2012_val_00007412.JPEG,64.74,0.9999,0.0218
ILSVRC2012_val_00007428.JPEG,32.55,0.9879,36.1269
ILSVRC2012_val_00007440.JPEG,33.22,0.9801,30.9823
ILSVRC2012_val_00007443.JPEG,31.91,0.9595,41.877
ILSVRC2012_val_00007455.JPEG,31.61,0.9695,44.8533
ILSVRC2012_val_00007456.JPEG,33.86,0.9877,26.7329
ILSVRC2012_val_00007457.JPEG,31.71,0.9882,43.8617
ILSVRC2012_val_00007460.JPEG,45.89,0.9985,1.6758
ILSVRC2012_val_00007467.JPEG,33.32,0.9654,30.257
ILSVRC2012_val_00007473.JPEG,33.07,0.9852,32.074
ILSVRC2012_val_00007502.JPEG,68.01,0.9999,0.0103
ILSVRC2012_val_00007511.JPEG,31.22,0.984,49.1042
ILSVRC2012_val_00007513.JPEG,34.17,0.9868,24.903
ILSVRC2012_val_00007528.JPEG,31.76,0.9795,43.3159
ILSVRC2012_val_00007535.JPEG,34.81,0.9842,21.461
ILSVRC2012_val_00007544.JPEG,31.59,0.9689,45.0613
ILSVRC2012_val_00007547.JPEG,32.97,0.9533,32.7974
ILSVRC2012_val_00007548.JPEG,31.79,0.9782,43.0477
ILSVRC2012_val_00007557.JPEG,32.48,0.9925,36.707
ILSVRC2012_val_00007560.JPEG,39.19,0.9952,7.8307
ILSVRC2012_val_00007561.JPEG,31.78,0.9804,43.1593
ILSVRC2012_val_00007566.JPEG,34.39,0.9905,23.6367
ILSVRC2012_val_00007572.JPEG,61.71,0.9998,0.0438
ILSVRC2012_val_00007578.JPEG,31.56,0.9816,45.4321
ILSVRC2012_val_00007584.JPEG,38.53,0.9885,9.129
ILSVRC2012_val_00007586.JPEG,31.74,0.9831,43.5249
ILSVRC2012_val_00007588.JPEG,35.4,0.9845,18.7455
ILSVRC2012_val_00007603.JPEG,40.76,0.9921,5.4571
ILSVRC2012_val_00007606.JPEG,32.26,0.9878,38.6853
ILSVRC2012_val_00007607.JPEG,40.12,0.9928,6.3299
ILSVRC2012_val_00007614.JPEG,67.19,0.9999,0.0124
ILSVRC2012_val_00007635.JPEG,34.07,0.9847,25.4605
ILSVRC2012_val_00007639.JPEG,66.47,0.9999,0.0147
ILSVRC2012_val_00007646.JPEG,31.95,0.984,41.4591
ILSVRC2012_val_00007650.JPEG,35.94,0.9929,16.5513
ILSVRC2012_val_00007660.JPEG,65.29,0.9999,0.0192
ILSVRC2012_val_00007674.JPEG,34.36,0.9904,23.8098
ILSVRC2012_val_00007675.JPEG,36.78,0.9887,13.6614
ILSVRC2012_val_00007702.JPEG,31.63,0.9887,44.6544
ILSVRC2012_val_00007703.JPEG,39.51,0.9945,7.2797
ILSVRC2012_val_00007706.JPEG,34.32,0.9879,24.0426
ILSVRC2012_val_00007707.JPEG,34.28,0.9706,24.2539
ILSVRC2012_val_00007720.JPEG,36.26,0.9899,15.3984
ILSVRC2012_val_00007728.JPEG,32.62,0.9874,35.5573
ILSVRC2012_val_00007730.JPEG,40.18,0.9992,6.2429
ILSVRC2012_val_00007732.JPEG,33.31,0.9816,30.3751
ILSVRC2012_val_00007770.JPEG,36.03,0.9872,16.2363
ILSVRC2012_val_00007775.JPEG,49.76,0.9983,0.6875
ILSVRC2012_val_00007792.JPEG,34.7,0.9843,22.0325
ILSVRC2012_val_00007804.JPEG,33.92,0.9832,26.3683
ILSVRC2012_val_00007819.JPEG,43.49,0.9978,2.9095
ILSVRC2012_val_00007822.JPEG,31.92,0.9888,41.7671
ILSVRC2012_val_00007829.JPEG,33.23,0.9757,30.9064
ILSVRC2012_val_00007832.JPEG,31.76,0.954,43.3539
ILSVRC2012_val_00007845.JPEG,32.89,0.9846,33.4
ILSVRC2012_val_00007848.JPEG,41.34,0.9955,4.7742
ILSVRC2012_val_00007849.JPEG,65.59,0.9999,0.018
ILSVRC2012_val_00007851.JPEG,32.8,0.9903,34.1424
ILSVRC2012_val_00007859.JPEG,66.43,0.9999,0.0148
ILSVRC2012_val_00007861.JPEG,33.2,0.9898,31.119
ILSVRC2012_val_00007869.JPEG,39.68,0.9957,6.9997
ILSVRC2012_val_00007882.JPEG,44.76,0.9964,2.1717
ILSVRC2012_val_00007890.JPEG,32.3,0.9931,38.3103
ILSVRC2012_val_00007897.JPEG,33.1,0.9832,31.8304
ILSVRC2012_val_00007904.JPEG,31.93,0.9913,41.7199
ILSVRC2012_val_00007918.JPEG,43.7,0.9945,2.7753
ILSVRC2012_val_00007938.JPEG,32.23,0.985,38.9112
ILSVRC2012_val_00007944.JPEG,33.44,0.9837,29.4706
ILSVRC2012_val_00007948.JPEG,34.24,0.9847,24.4695
ILSVRC2012_val_00007955.JPEG,38.81,0.9925,8.5615
ILSVRC2012_val_00007958.JPEG,34.72,0.9845,21.9546
ILSVRC2012_val_00007959.JPEG,36.72,0.985,13.8262
ILSVRC2012_val_00007967.JPEG,32.5,0.9593,36.5566
ILSVRC2012_val_00007971.JPEG,53.74,0.9986,0.2748
ILSVRC2012_val_00007974.JPEG,31.55,0.9832,45.5589
ILSVRC2012_val_00007987.JPEG,36.23,0.9898,15.4896
ILSVRC2012_val_00007989.JPEG,42.5,0.9947,3.6585
